epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1017.55,1.36164,1.26136,1.36202,0.85762,0.42933,0.64749,0.43724,1.45494,1.21137,1.45968,0.00974145,0.00974145,0.00974145
64,1033.63,1.38767,1.2589,1.39071,0.82211,0.46375,0.65942,0.47221,1.3776,1.12616,1.38109,0.00973312,0.00973312,0.00973312
65,1049.71,1.38801,1.2817,1.37397,0.85592,0.50163,0.68641,0.46596,1.40623,1.15459,1.3847,0.00972466,0.00972466,0.00972466
66,1065.79,1.38546,1.28655,1.37683,0.89438,0.47091,0.6842,0.47663,1.40654,1.1619,1.37468,0.00971608,0.00971608,0.00971608
67,1081.8,1.39565,1.26747,1.37852,0.80688,0.4838,0.65484,0.44577,1.42517,1.15294,1.419,0.00970736,0.00970736,0.00970736
68,1097.78,1.37239,1.27346,1.3761,0.84376,0.46952,0.66221,0.45877,1.44042,1.16665,1.41709,0.00969852,0.00969852,0.00969852
69,1113.85,1.36324,1.27139,1.36619,0.83788,0.5023,0.67163,0.46139,1.38558,1.13052,1.36932,0.00968955,0.00968955,0.00968955
70,1129.85,1.36093,1.25321,1.37129,0.81534,0.54975,0.68931,0.46106,1.39304,1.15596,1.38907,0.00968045,0.00968045,0.00968045
71,1146.15,1.36935,1.25701,1.35749,0.85345,0.50663,0.68785,0.46438,1.40579,1.19421,1.39722,0.00967122,0.00967122,0.00967122
72,1162.65,1.35202,1.24024,1.35486,0.8396,0.4848,0.67146,0.46723,1.38759,1.16024,1.37808,0.00966187,0.00966187,0.00966187
73,1178.96,1.3633,1.22124,1.34788,0.83165,0.51874,0.68625,0.46533,1.42663,1.10755,1.40348,0.00965239,0.00965239,0.00965239
74,1195.01,1.35505,1.23942,1.35395,0.86806,0.42265,0.6482,0.4428,1.41706,1.09798,1.42489,0.00964279,0.00964279,0.00964279
